,Title,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear
1490,Intacto,Lions,"$307,333",31,"$7,362",1,12/13/2002
1491,Drumline,Fox,"$56,399,184","1,837","$12,604,705","1,836",12/13/2002
1492,Maid in Manhattan,SonR,"$94,011,225","3,050","$18,711,407","2,838",12/13/2002
1493,Monster Beach Party,Indic.,"$112,791",8,"$3,730",2,4/10/2009
1494,Adaptation.,Sony,"$22,498,520",672,"$384,478",7,12/6/2002
1495,They're Watching,Ampl.,n/a,n/a,n/a,n/a,3/25/2016
1496,Treasure Planet,BV,"$38,176,783","3,227","$12,083,248","3,227",11/27/2002
1497,O Fantasma,Pict.,"$126,783",1,"$10,953",1,11/22/2002
1498,The Man Without a Past,SPC,"$921,847",31,"$23,281",2,4/4/2003
1499,The Emperor's Club,Uni.,"$14,118,751",811,"$3,846,780",809,11/22/2002
1500,Power and Terror: Noam Chomsky in Our Times,FRun,"$292,470",4,"$9,442",1,multiple
1501,Die Another Day,MGM,"$160,942,139","3,377","$47,072,040","3,314",11/22/2002
1502,The Terrorist,Pha.,"$153,629",1,"$13,734",1,1/14/2000
1503,Harry Potter and the Chamber of Secrets,WB,"$261,988,482","3,682","$88,357,488","3,682",11/15/2002
1504,Black Panthers: Vanguard of the Revolution,PBS,"$516,893",12,"$20,215",1,9/2/2015
1505,"God is Great, I'm Not",Emp.,"$73,181",1,"$13,850",1,11/6/2002
1506,Far From Heaven,Focus,"$15,901,849",291,"$211,279",6,11/8/2002
1507,Femme Fatale,WB,"$6,630,252","1,066","$2,776,248","1,066",11/6/2002
1508,The Santa Clause 2,BV,"$139,236,327","3,352","$29,008,696","3,350",11/1/2002
1509,Love in the Time of Money,Think,"$10,410",4,"$6,040",4,11/1/2002
1510,Jackass: The Movie,Par.,"$64,255,312","2,532","$22,763,437","2,509",10/25/2002
1511,All or Nothing,UA,"$201,546",16,"$25,890",7,10/25/2002
1512,Friday the 13th Part 2 in 3D,WB,n/a,n/a,n/a,n/a,TBD
1513,Fast & Furious 10,Uni.,n/a,n/a,n/a,n/a,4/2/2021
1514,Chihwaseon,Kino,"$64,029",5,"$8,196",3,2/14/2003
1515,Formula 51,SGem,"$5,204,007","1,857","$2,817,719","1,857",10/18/2002
1516,Fidelio: Alice's Odyssey,FRun,"$3,580",2,$454,1,7/17/2015
1517,Bowling for Columbine,UA,"$21,576,018",248,"$209,148",8,10/11/2002
1518,The Comedians of Comedy,Vita.,$549,2,$354,2,11/11/2005
1519,Swept Away,SGem,"$598,645",196,"$354,052",196,10/11/2002
1520,Punch-Drunk Love,SonR,"$17,844,216","1,293","$367,203",5,10/11/2002
1521,Welcome to Collinwood,WB,"$336,620",45,"$75,180",16,10/4/2002
1522,Auto Focus,SPC,"$2,063,196",461,"$123,761",11,10/18/2002
1523,The Man from Elysian Fields,IDP,"$1,435,016",50,"$46,353",6,9/27/2002
1524,Moonlight Mile,BV,"$6,835,856",437,"$329,771",22,9/27/2002
1525,Snipes,Ruff,"$70,569",43,"$14,027",6,9/4/2002
1526,His Secret Life,Strand,"$215,449",4,"$18,316",4,9/20/2002
1527,Stealing Harvard,SonR,"$14,036,406","2,366","$6,041,521","2,366",9/13/2002
1528,Quitting,SPC,"$18,531",6,"$7,908",5,9/13/2002
1529,Barbershop: The Next Cut,WB (NL),"$54,030,051","2,676","$20,242,415","2,661",4/15/2016
1530,City by the Sea,WB,"$22,448,879","2,575","$8,935,426","2,575",9/6/2002
1531,Blue Crush,Uni.,"$40,390,647","3,015","$14,169,455","3,002",8/16/2002
1532,Possession (2009),YFG,n/a,n/a,n/a,n/a,TBD
1533,Scarlet Diva,MB,"$18,062",1,"$4,547",1,8/9/2002
1534,Blood Work,WB,"$26,235,081","2,525","$7,312,413","2,525",8/9/2002
1535,Spy Kids 2: The Island of Lost Dreams,Dim.,"$85,846,429","3,307","$16,711,716","3,307",8/7/2002
1536,Signs,BV,"$227,966,634","3,453","$60,117,080","3,264",8/2/2002
1537,Full Frontal,Mira.,"$2,512,846",214,"$739,834",208,8/2/2002
1538,The Country Bears,BV,"$16,990,825","2,553","$5,309,675","2,553",7/26/2002
1539,Lan Yu,Strand,"$116,325",3,"$7,583",1,7/3/2002
1540,Happy Times,SPC,"$240,093",14,"$31,084",6,7/26/2002
1541,K-19: The Widowmaker,Par.,"$35,168,966","2,830","$12,778,459","2,828",7/19/2002
1542,Metropolis (2002),Sony,"$722,932",16,"$84,660",9,1/25/2002
1543,Tosca's Kiss (2014 re-release),Icar.,"$13,670",2,$418,1,6/6/2014
1544,The Crocodile Hunter: Collision Course,MGM,"$28,442,574","2,535","$9,537,123","2,525",7/12/2002
1545,Read My Lips,Magn.,"$1,471,911",45,"$27,080",1,7/5/2002
1546,Spider-Man / Men in Black II,Sony,"$6,632,970","2,078","$2,111,862","2,078",9/6/2002
1547,Pumpkin,MGM,"$308,552",19,"$30,514",8,6/28/2002
1548,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
1549,The Cockettes,Strand,"$220,165",6,"$17,118",3,5/10/2002
1550,Lilo & Stitch,BV,"$145,794,338","3,222","$35,260,212","3,191",6/21/2002
1551,Juwanna Mann,WB,"$13,670,733","1,325","$5,474,270","1,325",6/21/2002
1552,ZigZag,Silv.,"$2,418",1,"$1,649",1,6/21/2002
1553,War Photographer,FRun,"$61,040",1,"$9,327",1,6/19/2002
1554,Badmaash Company,Yash,n/a,50,n/a,50,5/7/2010
1555,Scooby Doo Feature,WB,n/a,n/a,n/a,n/a,9/21/2018
1556,The Bourne Identity,Uni.,"$121,661,683","2,663","$27,118,640","2,638",6/14/2002
1557,Secret Society,FRun,"$4,725",1,$933,1,6/7/2002
1558,Ivans XTC,AL,"$47,027",2,"$9,121",2,6/7/2002
1559,Undercover Brother,Uni.,"$39,089,928","2,169","$12,037,685","2,167",5/31/2002
1560,13 Conversations About One Thing,SPC,"$3,288,164",68,"$89,499",9,5/24/2002
1561,About a Boy,Uni.,"$41,385,278","1,756","$8,557,630","1,207",5/17/2002
1562,Star Wars: Episode II - Attack of the Clones,Fox,"$310,676,740","3,161","$80,027,814","3,161",multiple
1563,ABC Africa,NYer,"$9,075",1,$559,1,5/3/2002
1564,The Amazing Spider-Man 3,Sony,n/a,n/a,n/a,n/a,TBD
1565,"Like Sunday, Like Rain",Mont.,"$28,208",6,"$1,082",2,3/6/2015
1566,Night at the Golden Eagle,Key.,"$17,643",3,"$7,380",3,4/26/2002
1567,Closed Circuit,Focus,"$5,750,401",870,"$2,464,931",870,8/28/2013
1568,"Life, or Something Like It",Fox,"$14,448,589","2,609","$6,219,234","2,606",4/26/2002
1569,Murderous Maids,Rialto,"$225,390",5,"$19,992",2,4/19/2002
1570,Carlos Castaneda: Enigma of a Sorcerer,Indic.,"$107,040",2,"$4,236",2,3/5/2004
1571,Murder by Numbers,WB,"$31,945,749","2,663","$9,307,394","2,663",4/19/2002
1572,The Triumph of Love,ParC,"$447,267",51,"$60,507",18,4/17/2002
1573,Human Nature,FL,"$705,308",224,"$297,340",224,4/12/2002
1574,The Cat's Meow,Lions,"$3,209,481",153,"$111,037",11,4/12/2002
1575,Les Destinees,Wells,"$230,900",5,"$12,463",4,4/5/2002
1576,High Crimes,Fox,"$41,543,917","2,747","$14,005,550","2,717",4/5/2002
1577,Panic Room,Sony,"$96,397,334","3,119","$30,056,751","3,053",3/29/2002
1578,Sorority Boys,BV,"$10,200,032","1,801","$4,127,903","1,801",3/22/2002
1579,Sweet Smell of Success,UA,n/a,n/a,n/a,n/a,6/27/1957
1580,Showtime,WB,"$38,082,712","2,917","$15,011,430","2,917",3/15/2002
1581,Pauline & Paulette,SPC,"$139,789",12,"$13,527",5,3/15/2002
1582,Yellow Asphalt,NYer,"$11,907",1,$489,1,3/13/2002
1583,All About the Benjamins,NL,"$25,916,319","1,519","$10,007,291","1,505",3/8/2002
1584,We Were Soldiers,Par.,"$78,122,718","3,143","$20,212,543","3,143",3/1/2002
1585,Esther Kahn,Emp.,"$23,371",3,"$5,124",1,3/1/2002
1586,Big Bad Love,IFC,"$104,294",n/a,n/a,n/a,2/22/2002
1587,Mean Machine,ParC,"$92,770",1,$133,1,2/22/2002
1588,Dragonfly,Uni.,"$30,323,400","2,507","$10,216,025","2,507",2/22/2002
1589,Last Orders,SPC,"$2,329,631",60,"$111,676",17,2/25/2002
1590,The Last Man on the Moon,Grav.,"$52,482",14,"$30,880",13,2/26/2016
1591,Super Troopers,FoxS,"$18,492,362","1,805","$6,203,906","1,780",2/15/2002
1592,Shirin in Love,SSR,"$49,254",n/a,n/a,n/a,3/14/2014
1593,A Walk to Remember,WB,"$41,281,092","2,420","$12,177,488","2,411",1/25/2002
1594,Beijing Bicycle,SPC,"$66,131",9,"$23,251",6,1/11/2002
1595,Metropolis (2002),Sony,"$722,932",16,"$84,660",9,1/25/2002
1596,The Count of Monte Cristo,BV,"$54,234,062","2,211","$11,376,150","2,007",1/25/2002
1597,In the Shadow of the Moon,Think,"$1,134,358",104,"$38,281",4,9/7/2007
1598,State Property 2,Lions,"$1,691,706",202,"$756,905",202,4/13/2005
1599,Snow Dogs,BV,"$81,172,560","2,454","$17,814,259","2,302",1/18/2002
1600,Orange County,Par.,"$41,076,018","2,317","$15,053,226","2,317",1/11/2002
1601,Impostor,Mira.,"$6,285,176","1,870","$3,022,523","1,870",1/4/2002
1602,I Am Sam,NL,"$40,311,852","1,450","$41,779",2,12/28/2001
1603,Monster's Ball,Lions,"$31,273,922",714,"$110,552",7,12/26/2001
1604,The Sun Behind the Clouds: Tibet's Struggle for Freedom,Bal.,"$67,095",4,"$10,884",1,3/31/2010
1605,Jimmy Neutron: Boy Genius,Par.,"$80,936,232","3,151","$13,832,786","3,139",12/21/2001
1606,A Beautiful Mind,Uni.,"$170,742,341","2,250","$367,151",11,12/21/2001
1607,Not Another Teen Movie,Sony,"$38,252,284","2,365","$12,615,116","2,365",12/14/2001
1608,Lantana,Lions,"$4,623,189",108,"$66,701",6,12/14/2001
1609,Princesas,IFC,"$29,472",3,"$5,147",1,8/23/2006
1610,Blade Runner - The Final Cut,N/A,n/a,n/a,n/a,n/a,TBD
1611,Texas Rangers (2001),Mira.,"$623,374",404,"$319,516",402,11/30/2001
1612,The Affair of the Necklace,WB,"$471,210",40,"$125,523",18,11/30/2001
1613,Sidewalks of New York,ParC,"$2,402,652",224,"$545,132",99,11/23/2001
1614,Spy Kids 3D: Game Over,Dim.,"$111,761,982","3,388","$33,417,739","3,344",7/25/2003
1615,The Fluffer,FRun,"$563,373",6,"$19,280",1,11/16/2001
1616,Novocaine,Art.,"$2,036,682",189,"$418,098",105,11/16/2001
1617,Shallow Hal,Fox,"$70,839,203","2,799","$22,518,295","2,770",11/9/2001
1618,Heist (2015),LGP,"$50,136",24,"$28,688",24,11/13/2015
1619,Happenstance,Lot47,"$251,444",7,"$8,777",2,11/2/2001
1620,Punks,Urb.,"$160,083",7,"$14,250",1,11/2/2001
1621,Domestic Disturbance,Par.,"$45,246,095","2,910","$14,033,112","2,910",11/2/2001
1622,The Man Who Wasn't There,USA,"$7,504,257",259,"$664,404",39,11/2/2001
1623,Mysteries of Egypt (IMAX),Imax,"$40,593,486",27,"$119,280",18,8/21/1998
1624,K-PAX,Uni.,"$50,338,485","2,581","$17,215,275","2,541",10/26/2001
1625,Better Than Sex,IDP,"$19,521",7,"$19,521",7,10/26/2001
1626,The Lady and the Duke,SPC,"$331,051",14,"$25,804",5,5/10/2002
1627,The Royal Tenenbaums,BV,"$52,364,010",999,"$276,981",5,12/14/2001
1628,Storytelling,FL,"$921,445",40,"$73,688",4,1/25/2002
1629,The Endurance: Shackleton's Antarctic Adventure,Cow.,"$2,453,083",40,"$18,931",3,10/5/2001
1630,Burnt Money (Plata Quemada),Strand,"$183,132",5,"$30,260",3,10/19/2001
1631,One Week,Film,"$190,441",18,"$77,575",18,10/19/2001
1632,Baran,Mira.,"$125,900",9,"$21,702",2,12/7/2001
1633,Joy Ride,Fox,"$21,974,919","2,522","$7,347,259","2,497",10/5/2001
1634,Born Romantic,UA,"$15,545",7,"$8,477",7,9/28/2001
1635,Don't Say a Word,Fox,"$55,001,642","2,842","$17,090,474","2,802",9/28/2001
1636,Liam,Lions,"$1,016,021",55,"$44,399",7,9/21/2001
1637,The Glass House,Sony,"$18,150,259","1,601","$5,738,448","1,591",9/14/2001
1638,China: The Panda Adventure (IMAX),Imax,"$3,921,642",21,"$28,268",3,6/9/2001
1639,Two Can Play That Game,SGem,"$22,235,901","1,308","$7,720,942","1,297",9/7/2001
1640,Rock Star,WB,"$17,008,282","2,525","$6,018,636","2,525",9/7/2001
1641,The Curse of the Jade Scorpion,DW,"$7,517,191",909,"$2,459,315",903,8/24/2001
1642,Maze Runner: The Death Cure,Fox,n/a,n/a,n/a,n/a,1/12/2018
1643,In/Significant Others,NPP,"$3,763",1,"$1,408",1,5/14/2010
1644,The Turandot Project,Zeit.,"$33,504",3,"$7,877",2,8/10/2001
1645,American Pie 2,Uni.,"$145,103,595","3,157","$45,117,985","3,063",8/10/2001
1646,Rush Hour 2,NL,"$226,164,286","3,118","$67,408,222","3,118",8/3/2001
1647,Bread and Tulips,First,"$5,318,679",84,"$32,933",1,7/27/2001
1648,Wet Hot American Summer,USA,"$295,206",12,"$17,481",2,7/27/2001
1649,Coming Soon,Una.,"$5,453",1,"$3,742",1,5/12/2000
1650,Ghost World,MGM,"$6,217,849",128,"$98,791",5,7/20/2001
1651,America's Sweethearts,SonR,"$93,607,673","3,011","$30,181,877","3,011",7/20/2001
1652,The Perfect Score,Par.,"$10,391,003","2,208","$4,873,819","2,208",1/30/2004
1653,Bully (2012),Wein.,"$3,495,043",6,"$116,472",5,multiple
1654,Blonde and Blonder,Hann.,"$42,183",14,"$26,470",14,1/18/2008
1655,Everybody's Famous!,Mira.,"$81,734",11,"$17,104",4,7/3/2001
1656,Baise-Moi,Wins.,"$420,224",5,"$27,838",2,9/15/2000
1657,African Cats,BV,"$15,428,747","1,224","$6,003,200","1,220",4/22/2011
1658,crazy/beautiful,BV,"$16,937,988","1,603","$4,715,060","1,601",6/29/2001
1659,A.I. Artificial Intelligence,WB,"$78,616,689","3,242","$29,352,630","3,242",6/29/2001
1660,Baby Boy,Sony,"$28,734,552","1,533","$8,606,403","1,533",6/27/2001
1661,Dr. Dolittle 2,Fox,"$112,952,899","3,053","$25,037,039","3,049",6/22/2001
1662,Sexy Beast,FoxS,"$6,946,056",194,"$170,356",9,6/15/2001
1663,Divided We Fall,SPC,"$1,328,815",37,"$28,583",5,6/8/2001
1664,Bride of the Wind,ParC,"$318,823",42,"$35,208",8,6/8/2001
1665,Evolution of a Criminal,TFC,"$3,568",1,n/a,n/a,10/10/2014
1666,Bread and Roses,Lions,"$533,479",39,"$49,662",34,5/11/2001
1667,Pearl Harbor,BV,"$198,542,554","3,255","$59,078,912","3,214",5/25/2001
1668,The King is Alive,IFC,"$17,929",6,"$17,929",6,5/11/2001
1669,Pavilion of Women,Focus,"$36,992",9,"$16,368",9,5/4/2001
1670,Driven,WB,"$32,720,065","2,905","$12,174,504","2,905",4/27/2001
1671,The Luzhin Defence,SPC,"$1,053,070",49,"$63,203",6,4/20/2001
1672,Lakeboat,Pan.,"$5,159",n/a,n/a,n/a,4/13/2001
1673,Tulip Fever,Wein.,n/a,n/a,n/a,n/a,2/24/2017
1674,Freddy Got Fingered,Fox,"$14,254,993","2,271","$7,098,459","2,271",4/20/2001
1675,Low Down,Osci.,"$54,051",8,"$5,278",1,10/24/2014
1676,The Center of the World,Art.,"$1,101,344",45,"$67,809",7,4/20/2001
1677,Me You Them,SPC,"$323,923",22,"$41,668",11,3/2/2001
1678,Bartleby,Outr.,"$148,479",9,"$14,599",2,5/24/2002
1679,L.I.E.,Lot47,"$1,138,836",45,"$82,530",12,9/7/2001
1680,That Demon Within,CL,"$172,343",16,"$77,130",12,4/18/2014
1681,The Visit,Uni.,"$65,206,105","3,148","$25,427,560","3,069",9/11/2015
1682,The Weird World of Blowfly,Vari.,"$3,062",1,"$1,036",1,9/16/2011
1683,The Gleaners and I,Zeit.,"$155,320",4,"$12,655",2,3/7/2001
1684,Someone Like You,Fox,"$27,343,067","2,349","$10,010,600","2,345",3/30/2001
1685,The Tailor of Panama,Sony,"$13,729,742",441,"$1,837,068",199,3/30/2001
1686,Heartbreakers,MGM,"$40,336,607","2,751","$11,801,323","2,750",3/23/2001
1687,Memento,NM,"$25,544,867",531,"$235,488",11,3/16/2001
1688,Enemy at the Gates,Par.,"$51,401,758","1,724","$13,810,266","1,509",3/16/2001
1689,You'll Get Over It,Pict.,"$50,256",2,"$5,384",1,6/18/2004
1690,Boesman and Lena,Kino,"$32,625",8,n/a,n/a,11/3/2000
1691,Blow Dry,Mira.,"$637,769",157,"$240,166",157,3/9/2001
1692,Last Resort,TSG,"$37,283",14,"$37,283",14,2/23/2001
1693,Monkeybone,Fox,"$5,411,999","1,748","$2,685,078","1,722",2/23/2001
1694,Sweet November,WB,"$25,288,103","2,268","$9,733,954","2,268",2/16/2001
1695,Saving Silverman,Sony,"$19,402,030","2,467","$7,411,852","2,467",2/9/2001
1696,Kippur,Kino,"$114,283",5,"$17,007",5,11/3/2000
1697,Michael Jordan to the Max (IMAX),Imax,"$18,650,521",56,"$578,141",41,5/5/2000
1698,Spring Forward,IFC,"$117,471",2,"$6,269",2,12/8/2000
1699,The Invisible Circus,FL,"$77,578",105,"$55,388",105,2/2/2001
1700,Head Over Heels,Uni.,"$10,424,470","2,363","$4,804,595","2,338",2/2/2001
1701,Hot Sugar's Cold World,Ampl.,n/a,n/a,n/a,n/a,11/13/2015
1702,The Wedding Planner,Sony,"$60,400,856","2,785","$13,510,293","2,785",1/26/2001
1703,Gifted,FoxS,n/a,n/a,n/a,n/a,4/12/2017
1704,Antitrust,MGM,"$11,328,094","2,433","$5,486,209","2,433",1/12/2001
1705,But Always (Yi Sheng Yi Shi),CL,"$430,760",20,"$144,720",20,9/5/2014
1706,Shadow of the Vampire,Lions,"$8,293,784",513,"$150,171",6,12/29/2000
1707,All the Pretty Horses,Mira.,"$15,540,353","1,593","$1,304,971","1,483",12/25/2000
1708,An Everlasting Piece,DW,"$75,228",8,"$9,128",8,12/22/2000
1709,Miss Congeniality 2: Armed and Fabulous,WB,"$48,478,006","3,233","$14,043,215","3,233",3/24/2005
1710,Dungeons & Dragons,NL,"$15,220,685","2,078","$7,237,422","2,078",12/8/2000
1711,Strike!,Mira.,"$907,996",133,"$307,763",133,8/21/1998
1712,Wonder Boys,Par.,"$19,393,557","1,509","$5,808,919","1,253",2/23/2000
1713,Ghost Dog: Way of the Samurai,Art.,"$3,308,029",109,"$166,344",14,3/3/2000
1714,My Dog Skip,WB,"$34,134,641","2,331","$56,943",5,1/14/2000
1715,Down to You,Mira.,"$20,069,008","2,003","$7,602,507","1,971",1/21/2000
1716,The Fantasticks,MGM,"$49,666",6,"$24,176",6,9/22/2000
1717,Gendernauts,FRun,"$7,358",n/a,n/a,n/a,2/4/2000
1718,Snow Day,Par.,"$60,020,107","2,717","$14,331,819","2,664",2/11/2000
1719,The Tigger Movie,BV,"$45,554,533","2,818","$9,427,532","2,723",2/11/2000
1720,Boiler Room,NL,"$16,970,581","1,335","$5,742,129","1,335",2/18/2000
1721,Restaurant,PEC,"$75,232",24,"$11,750",24,1/28/2000
1722,3 Strikes,MGM,"$9,832,166",678,"$3,684,704",678,3/3/2000
1723,Beautiful People,Trim.,"$264,292",26,"$13,987",1,2/18/2000
1724,Erin Brockovich,Uni.,"$125,595,205","3,070","$28,138,465","2,848",3/17/2000
1725,Whatever It Takes,Sony,"$8,745,680","2,272","$4,104,298","2,272",3/24/2000
1726,Such a Long Journey,Sony,"$92,569",19,"$52,466",16,3/24/2000
1727,Soft Fruit,FoxS,"$13,654",1,n/a,n/a,3/17/2000
1728,The Color of Paradise,SPC,"$1,817,216",33,"$77,328",13,3/31/2000
1729,The Filth and the Fury,FL,"$612,192",29,"$13,305",1,3/29/2000
1730,Ready to Rumble,WB,"$12,394,327","2,585","$5,257,778","2,585",4/7/2000
1731,The Virgin Suicides,ParC,"$4,906,229",275,"$235,122",18,4/21/2000
1732,Committed,Mira.,"$40,361",13,"$11,452",6,4/28/2000
1733,Not One Less,SPC,"$592,586",24,"$50,256",6,2/18/2000
1734,The Good Dinosaur,BV,"$123,087,120","3,749","$39,155,217","3,749",11/25/2015
1735,The Adventures of Rocky & Bullwinkle,Uni.,"$26,005,820","2,482","$6,814,270","2,460",6/30/2000
1736,Up at the Villa,USA,"$2,933,161",112,"$339,819",89,5/5/2000
1737,Held Up,Trim.,"$4,705,631",688,"$1,911,007",688,5/12/2000
1738,Mission: Impossible II,Par.,"$215,409,889","3,669","$57,845,297","3,653",5/24/2000
1739,Shanghai Noon,BV,"$56,937,502","2,751","$15,607,034","2,711",5/26/2000
1740,Kikujiro,SPC,"$200,920",4,"$28,079",4,5/26/2000
1741,Jesus' Son,Lions,"$1,302,067",95,"$37,089",1,6/16/2000
1742,Scary Movie 5,W/Dim.,"$32,015,787","3,402","$14,157,367","3,402",4/12/2013
1743,Running Free,Sony,"$117,608",100,"$55,451",100,6/2/2000
1744,Walking on Sunshine,N/A,n/a,n/a,n/a,n/a,TBD
1745,Love's Labour's Lost,Mira.,"$299,792",14,"$24,496",2,6/9/2000
1746,It's the Rage,Silv.,"$9,730",2,"$4,718",2,7/7/2000
1747,Boricua's Bond,USA,"$71,046",24,"$54,289",24,6/23/2000
1748,Kidnap (2016),Rela.,n/a,n/a,n/a,n/a,12/2/2016
1749,Good Luck Chuck,LGF,"$35,017,297","2,612","$13,652,001","2,612",9/21/2007
1750,Benjamin Smoke,Cow.,"$37,111",2,"$6,183",1,7/21/2000
1751,Goodbye Mr. Loser,CL,"$1,293,626",40,"$363,949",22,10/9/2015
1752,New Waterford Girl,Ode.,"$774,469",20,"$40,251",4,6/2/2000
1753,The Wind Will Carry Us,NYer,"$259,510",2,"$21,417",2,7/28/2000
1754,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
1755,Space Cowboys,WB,"$90,464,773","2,835","$18,093,776","2,805",8/4/2000
1756,Alice et Martin,USA,"$500,896",20,"$51,294",8,7/21/2000
1757,Saving Grace,FL,"$12,178,602",875,"$287,452",30,8/4/2000
1758,Bring It On,Uni.,"$68,379,000","2,466","$17,362,105","2,380",8/25/2000
1759,The Wrecking Crew,Magn.,"$801,606",65,"$56,858",7,3/13/2015
1760,Dancer in the Dark,FL,"$4,184,036",126,"$91,612",3,9/22/2000
1761,Watchers of the Sky,MBox,"$19,339",4,"$7,473",4,10/17/2014
1762,Almost Famous,DW,"$32,534,850","2,262","$2,314,646",131,9/15/2000
1763,Life of Crime,RAtt.,"$265,452",37,"$104,300",37,8/29/2014
1764,Duets,BV,"$4,739,023",583,"$2,002,588",581,9/15/2000
1765,Tigerland,Fox,"$139,692",5,"$26,715",5,10/6/2000
1766,Remember the Titans,BV,"$115,654,751","2,803","$20,905,831","1,865",9/29/2000
1767,Girls Against Boys,Anch.,"$7,529",2,"$6,111",2,2/1/2013
1768,"Live Nude Girls, Unite!",FRun,"$84,706",n/a,n/a,n/a,10/6/2000
1769,Girlfight,SGem,"$1,565,852",253,"$197,896",28,9/29/2000
1770,Clouds of Sils Maria,IFC,"$1,851,517",187,"$61,810",3,4/10/2015
1771,Billy Elliot,Focus,"$21,995,263",510,"$215,681",10,10/13/2000
1772,Dr. T and the Women,Art.,"$13,113,041","1,489","$5,012,867","1,489",10/13/2000
1773,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
1774,Bedazzled (2000),Fox,"$37,886,980","2,571","$13,106,526","2,568",10/20/2000
1775,Pay It Forward,WB,"$33,519,628","2,130","$9,631,359","2,130",10/20/2000
1776,Venus Beauty Institute,Lot47,"$465,080",17,"$32,150",5,10/27/2000
1777,Charlie's Angels: Full Throttle,Sony,"$100,830,111","3,485","$37,634,221","3,459",6/27/2003
1778,The Legend of Bagger Vance,DW,"$30,919,168","2,162","$11,516,712","2,061",11/3/2000
1779,Little Nicky,NL,"$39,464,775","2,910","$16,063,904","2,910",11/10/2000
1780,Men of Honor,Fox,"$48,818,921","2,188","$13,339,465","2,092",11/10/2000
1781,102 Dalmatians,BV,"$66,957,026","2,704","$19,883,351","2,704",11/22/2000
1782,Once in a Lifetime,Mira.,"$144,601",12,"$9,805",1,7/7/2006
1783,Cyberworld 3-D (IMAX),Imax,"$11,253,900",38,"$278,199",21,10/6/2000
1784,Center Stage,Sony,"$17,200,925","1,506","$4,604,621","1,506",5/12/2000
1785,Knight of Cups,BG,"$566,006",68,"$60,551",4,3/4/2016
